UniProtID	GeneID	Origin	Inf0h_counts	Inf15h_counts	Inf24h_counts	Inf48h_counts	Inf72h_counts	Inf0h_TMM	Inf15h_TMM	Inf24h_TMM	Inf48h_TMM	Inf72h_TMM	logFC_15h	pval_15h	FDR_15h	logFC_24h	pval_24h	FDR_24h	logFC_48h	pval_48h	FDR_48h	logFC_72h	pval_72h	FDR_72h	Ttest_FDR_24h	Ttest_FDR_48h	Ttest_FDR_72h
I1YP38	BGLF3.5	Virus	227.8333333	525	269.5	201	179.5	9.982349566	17.16528156	12.39909765	9.00962141	8.011875012	4.429361908	1.32E-23	1.84E-21	0.354505535	0.344324904	0.601561129	-0.099314109	0.802000972	0.922508174	-0.412050618	0.318192131	0.59657626	NA	NA	NA
I1YP37	BGLF4	Virus	598.3333333	16137	12075	12010	8998	30.3204021	527.6117114	648.6271228	629.2428154	491.9644058	4.576829512	9.65E-32	2.44E-29	4.599513101	7.08E-07	4.61E-05	4.245840671	5.30E-26	4.75E-23	3.931224205	3.19E-07	0.000255912	0	0.21111	0.97155
K9UTN7	BHRF1	Virus	98.83333333	721	1139.5	1204	953.5	4.770781154	23.57365334	57.17838203	59.49709265	47.2372315	1.308684115	0.000209979	0.008035937	3.513473862	3.14E-11	8.17E-09	3.749574381	3.63E-19	7.72E-17	3.42054888	7.91E-06	0.002200966	0.03121	0.21111	0.50401
V5KU41	BKRF3	Virus	446.3333333	19349	11942.5	9416	10095.5	23.61348442	632.6305388	628.148915	494.0952549	556.5969187	4.323806055	2.98E-29	6.40E-27	5.349985469	0.000408456	0.006456003	4.620304974	1.47E-11	1.58E-09	4.633880871	5.15E-06	0.001731911	7.00E-05	0.10583	0.97155
A0A0B6VPB3	BLLF3	Virus	714	27292	22798	15980.5	14057	37.24413205	892.3330748	1148.742406	807.466261	725.8615148	3.609577778	2.62E-22	3.38E-20	5.518975595	0.099569566	0.287990769	4.778627454	0.065949669	0.245856711	4.612849503	0.001964902	0.049533536	0.00051	0.47349	0.39922
A0A0C7TMP0	BMLF1	Virus	827.6666667	22664	19324.5	15953	15588	41.82103193	741.0170309	1003.717557	823.7532423	829.5598694	3.95263554	1.33E-25	2.13E-23	4.84370776	4.09E-16	3.29E-13	4.275576991	5.10E-26	4.75E-23	4.322343062	7.31E-08	0.000166483	3.00E-05	0.17451	0.52677
K9UR48	BMRF1	Virus	2789.833333	94184	90552.5	75316.5	69623	137.014891	3079.418816	4637.561492	3827.449653	3686.647919	4.45570438	8.38E-31	1.91E-28	5.439003964	2.76E-09	4.12E-07	4.648634231	6.53E-26	5.27E-23	4.60800936	9.04E-08	0.000166483	1.00E-05	0.05009	0.61193
V5KU08	BMRF2	Virus	102.8333333	1069	4301	3785	2921	5.269804806	34.95178283	218.9325121	194.078595	161.9946814	4.016070693	2.45E-23	3.27E-21	6.167865504	3.02E-16	3.18E-13	5.081522012	1.54E-20	3.78E-18	5.520713781	0.000518357	0.027529142	8.00E-05	0.96303	0.52677
K9URV8	BORF2	Virus	3530.333333	65941	62691	63736	51049.5	179.8278327	2155.99206	3221.149615	3266.131811	2695.041235	4.15047913	1.11E-27	1.97E-25	4.45978086	4.03E-11	9.60E-09	4.224112284	5.37E-24	2.28E-21	4.013922934	3.47E-06	0.001439319	4.00E-05	0.05009	0.59089
G3CKR2	BRRF1	Virus	193.5	17762	9058.5	6316.5	4969	9.417292294	580.7423448	450.1103818	313.5180767	258.1337338	4.545584295	1.85E-31	4.51E-29	5.792244797	1.54E-16	2.48E-13	4.899312084	1.08E-27	2.91E-24	4.83006734	1.06E-07	0.000166483	8.00E-05	0.96303	0.90772
