"UniProtID"	"GeneID"	"Origin"	"Mock0h_counts"	"Inf2h_counts"	"Inf4h_counts"	"Inf6h_counts"	"Inf9h_counts"	"Inf12h_counts"	"Inf18h_counts"	"Mock0h_TMM"	"Inf2h_TMM"	"Inf4h_TMM"	"Inf6h_TMM"	"Inf9h_TMM"	"Inf12h_TMM"	"Inf18h_TMM"	"logFC_2h"	"pval_2h"	"FDR_2h"	"logFC_4h"	"pval_4h"	"FDR_4h"	"logFC_6h"	"pval_6h"	"FDR_6h"	"logFC_9h"	"pval_9h"	"FDR_9h"	"logFC_12h"	"pval_12h"	"FDR_12h"	"logFC_18h"	"pval_18h"	"FDR_18h"
"H9E936"	"UL29"	"Virus"	5016.25	47207	94947	109840	117118	111857	124193	134.673364287985	1262.41268656099	2594.09834219714	3067.83263878191	3302.08365290733	3159.22372063437	3534.9783332975	3.34110410638616	2.61108070078403e-162	3.0414738362966e-159	4.36537614078254	1.00908477361322e-258	2.34645846024194e-255	4.59635814799949	0	0	4.64001968244766	1.56085345337936e-207	1.36223485143684e-204	4.51153834526375	1.25825203194842e-79	4.6230828605431e-77	4.56069264306947	4.29029709744773e-63	1.57634547564645e-60
"F8RFN2"	"UL3"	"Virus"	395	485	912	1704	2624	3352	3373	10.6084609088448	12.9699017726625	24.9172452850937	47.5927423205059	73.9823725236841	94.6719285477566	96.0076809338084	0.433190962042702	0.00374728753522467	0.0999610403957451	1.27181454277147	9.49408416968195e-20	5.42874845636896e-18	2.10711316638545	2.05590267239214e-64	1.66862798294152e-62	2.80154890769703	2.61442757907831e-74	2.68440196428306e-72	3.20736024566158	7.54351997586673e-43	8.92564626297045e-41	3.04677255796226	1.75160106255202e-31	1.82506373398144e-29
"H9E937"	"UL30"	"Virus"	1478.25	16949	26259	29209	28870	29847	32261	39.6862123810227	453.251268339912	717.436342040873	815.807752605433	813.975264770869	842.981220574252	918.263799171537	3.68761488183104	3.01946011529486e-182	2.11030067457958e-178	4.29885371726012	5.07564487482463e-242	5.05824266382524e-239	4.43641426262704	1.72181877575674e-320	1.7168993641211e-317	4.34467401745268	4.26019587923893e-182	1.85904297680289e-179	4.30737530441837	2.30924034304643e-73	6.44832273392286e-71	4.39516820126356	3.65235177376527e-59	1.10856816228936e-56
"H9E938"	"UL31"	"Virus"	985.25	2050	8869	16747	23985	27666	32431	26.4521014590499	54.821234296821	242.31474608936	467.743929367085	676.2451238493	781.382331504246	923.102609061471	1.04286581592021	6.16068331458933e-17	5.81851563319795e-15	3.22040549103444	2.46163245324633e-143	6.13298142637372e-141	4.20687708611483	1.09471301826724e-283	4.49476286323842e-281	4.72065848147985	7.06853341903055e-204	4.93525003316713e-201	4.90592265160114	6.4634507222866e-89	4.51213494922828e-86	5.04337957072685	1.62377337824195e-72	1.030505632137e-69
"H9E939"	"UL32"	"Virus"	839.5	1605	4702	7153	8001	8522	9374	22.5371185749283	42.9210151445842	128.465885230823	199.783383696349	225.584208293444	240.69038636157	266.817670048479	0.780630723638556	5.99879273181085e-10	3.992910705012e-08	2.4412158322954	5.24714979336197e-85	7.32082339169862e-83	3.16626222271539	4.09063388454013e-168	6.48923284411139e-166	3.33332007215374	1.71200803011574e-112	2.49025834713919e-110	3.41316488292595	1.27097765359397e-49	1.73974411759598e-47	3.70469221301739	1.53889160043528e-44	2.19244944135483e-42
"Q25BW8"	"UL33"	"Virus"	64.75	269	439	402	392	411	371	1.73801697762269	7.19361562236334	11.9941564475396	11.2278652657532	11.0522446757943	11.6080437449666	10.5599909950913	2.07664368335948	2.55156239121544e-22	2.83061421463566e-20	2.86517633029699	3.53374721981878e-46	3.57266965296461e-44	2.8038426764843	2.7523880243088e-46	1.84727580862264e-44	2.67506756638692	1.34031063241637e-35	7.99833233806077e-34	2.62213600294362	5.73566906987622e-22	3.64006416152781e-20	2.57076672378122	1.05621583910105e-17	5.50256923340629e-16
"D3YPJ2"	"UL34"	"Virus"	760	1499	3295	5676	6356	7857	10826	20.4056237438114	40.0863562004559	90.0244772087542	158.530754349291	179.204252957521	221.908515095383	308.146799226033	0.945983634343945	1.61897094140853e-13	1.28579408062548e-11	2.13074273073908	3.38635783489592e-64	3.93720537603899e-62	2.96743337817358	1.00890711483148e-146	1.28039484754977e-144	3.14957434400517	9.27033835424268e-101	1.19862041461708e-98	3.45750349843675	1.70076910233312e-50	2.3746138206775e-48	3.91055907536435	1.35100035243123e-48	2.30032523422498e-46
"Q25BW6"	"UL35"	"Virus"	354.75	469	660	1350	2177	2744	2615	9.52732600625127	12.5420287244922	18.0322169826336	37.7055176834994	61.3794302530718	77.4999319615287	74.4322815422203	0.609114537545392	6.79706248774069e-05	0.00279439233687175	0.964402233422605	2.9883079575873e-11	1.17776476339712e-09	1.87423478825123	1.99292051120956e-49	1.41944746614722e-47	2.60746494962173	3.92903598188736e-64	3.70709854399156e-62	2.9647846239597	2.72349400500435e-37	2.71610166413362e-35	2.93054642254012	3.74845118222195e-29	3.58464900042349e-27
"H9E943"	"UL36"	"Virus"	4607.5	7348	8728	22197	48935	69075	85742	123.729929015385	196.500697372215	238.462408824888	619.962500756027	1379.69794186223	1950.91392137121	2440.52492695719	0.709945023011404	6.31138418598984e-10	4.16134566753613e-08	0.935646400614719	1.67467836779942e-16	8.5901149218888e-15	2.26515588857273	1.06590229637376e-105	1.12727242858922e-103	3.46297326275966	3.12015074015359e-129	5.8878087750682e-127	4.00117581083112	5.52892876727583e-66	1.20617036638602e-63	4.28874508871013	2.21817975073928e-57	5.95581263073496e-55
"H9E944"	"UL37"	"Virus"	2570.5	6037	10490	16285	18839	22013	26978	68.9958313554842	161.44184948776	286.602963860343	454.840263315399	531.156217977776	621.72230403394	767.89066594494	1.27458711031733	2.25128746507245e-27	2.80968715953416e-25	2.11497822661778	7.59303610293737e-72	9.80907775075762e-70	2.79745488066801	1.07507359652387e-149	1.44307955841089e-147	2.89183762699946	1.25908053098913e-93	1.51567245989071e-91	2.99630174952456	5.5995646627425e-41	6.10790014228209e-39	3.53018500756222	5.22710737425707e-42	6.88498803390351e-40
"Q1T724"	"UL38"	"Virus"	1596	2913	6214	12951	18818	23343	27084	42.8533546318082	77.8996368325071	169.776055045584	361.721599643705	530.564133441573	659.286046566313	770.907806229252	0.940028963733562	6.56187529315348e-15	5.52541523178912e-13	2.03009818855541	3.31543093500408e-64	3.92007562755737e-62	3.09142718783925	2.17754060449901e-173	3.61886509985788e-171	3.63314607335237	6.7258942483468e-136	1.38118216593992e-133	3.92927981764727	1.91499406188212e-63	3.93193339588208e-61	4.08531704201059	8.08369925640705e-53	1.56756401413827e-50
"H9E946"	"UL39"	"Virus"	7627.5	70325	150355	201305	220368	227718	239288	204.774426441065	1880.63575703607	4107.93027943012	5622.45128687174	6213.16595590671	6431.53407668199	6810.99494672077	3.31627175960462	1.60900016558879e-161	1.60647173675715e-158	4.43928782271958	2.89438918006623e-267	2.0191258920142e-263	4.89179702558952	0	0	4.96427894093748	4.5159891000502e-231	6.3061271793101e-228	4.94120319729972	1.54315219099074e-91	1.53896363504377e-88	4.86910521145416	1.03536714455301e-69	6.02324836343713e-67
"D3YPA4"	"UL40"	"Virus"	413.25	1238	2075	2461	2228	2431	2589	11.0955210623216	33.1066771021777	56.6921973317648	68.7357622363645	62.817349840994	68.6597429294738	73.6922282649363	1.60840743707241	1.89036677249662e-31	2.49278742886395e-29	2.38429819421095	7.39789361246017e-70	9.05398348079336e-68	2.66610262004904	1.87839292007615e-103	1.9568929227062e-101	2.52572915055138	2.74592867834809e-61	2.52264132002979e-59	2.63459585989027	1.37858781955863e-30	1.23383609850497e-28	2.65185804827528	7.6372289956603e-25	5.85884567238511e-23
